"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","CCL: curved carapace length","CCW: curved carapace width","D: the total number of dead hatchlings found inside the nest","Date","H: the total number of hatched hatchlings","Nest location","Nest position","Physical abnormality","Physical abnormality - comments","Predation","Turtle species","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","7","Jul 27, 2023","11:35:02 AM","97.09122","2.053678333333333","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","e82c2ba52f37402fb7533b4c75b2bbc5"
"Patrol","6","Jul 27, 2023","11:29:20 AM","97.09104333333335","2.054305","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","47ccd590894e473ba4803ea0df971952"
"Patrol","5","Jul 27, 2023","11:16:12 AM","97.08927666666665","2.056626666666667","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 27, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","22bcf732aebf418cb6989cc783883214"
"Patrol","4","Jul 27, 2023","11:11:23 AM","97.08859166666667","2.05737","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","Gelombang sampai ke zona semak","","CM: Green turtle","","e2d8b988d5be46bb8c9cadd5d477d0fd"
"Patrol","3","Jul 27, 2023","11:06:52 AM","97.08782666666666","2.058396666666667","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 27, 2023","","T: beneath tree, shrub, forest","A: above high tide","","Tinggi pasang sampai k zona semak","","CM: Green turtle","","c40afebde6ec49e4b3b0cac53755dc4f"
"Patrol","2","Jul 27, 2023","11:00:56 AM","97.08719666666666","2.0596733333333335","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","Sarang dekat dengan sungai","","CM: Green turtle","","3eb4cc36ae0a4987b3fa1460e7dbb1fa"
"Patrol","9","Jul 26, 2023","5:43:07 PM","97.095495","2.0436783333333333","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jul 26, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","d7f14fc69b7047498a3a9ffbffd1bdc2"
"Patrol","8","Jul 26, 2023","3:37:44 PM","97.09133833333333","2.0529616666666666","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 26, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","0b398c84e6944c2eaf798eaa231ee35e"
"Patrol","7","Jul 26, 2023","3:28:21 PM","97.08923333333333","2.0567683333333333","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 26, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","506aa7947afc4efdad838001a8844f9f"
"Patrol","6","Jul 26, 2023","3:25:50 PM","97.08873833333334","2.057241666666667","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 26, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","701e7343bd6b4c129b3e8f3e83775be4"
"Patrol","5","Jul 26, 2023","3:20:38 PM","97.08748500000002","2.0589933333333335","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 26, 2023","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","ce8b16847931407993739f88db3411bf"
"Patrol","4","Jul 26, 2023","3:18:18 PM","97.08712500000001","2.0596416666666664","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 26, 2023","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","1a2f6e46a6764af7aed649bb0ea0aaac"
"Patrol","3","Jul 26, 2023","3:16:57 PM","97.08692666666666","2.0597800000000004","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 26, 2023","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","dfc63f6617924ada9bd8de4ab7595dee"
"Patrol","2","Jul 26, 2023","3:13:23 PM","97.08587166666666","2.0607166666666665","Aug 4, 2023, 3:34:15 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 26, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","13638d4db42c4cd19ef83f9ca3f5a71a"
"Patrol","2","Jul 25, 2023","10:24:31 PM","97.091285","2.0533266666666665","Aug 4, 2023, 3:33:52 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","102.0","97.0","","Jul 25, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","640cd89705e84ce6963c6bf3ad413116"
"Patrol","9","Jul 25, 2023","3:33:32 PM","97.09123","2.053595","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 25, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","712bb0f60f8946b7b8023ffd2670b9ad"
"Patrol","8","Jul 25, 2023","3:27:42 PM","97.08992000000002","2.055988333333333","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 25, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","1f024f12b9c34086948867e06466b7b6"
"Patrol","7","Jul 25, 2023","3:25:55 PM","97.08975833333334","2.056156666666667","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Pantai kecil","","","","Jul 25, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","cf3b8e34b174483ebd42d75c01f49c06"
"Patrol","6","Jul 25, 2023","3:22:22 PM","97.08880166666668","2.057095","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 25, 2023","","","","","","","CM: Green turtle","","2570cec6e5304625bc839bf0002fad6b"
"Patrol","5","Jul 25, 2023","3:20:21 PM","97.08834666666668","2.0576833333333338","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 25, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","18e872fb0173444885d2a8620fe93a81"
"Patrol","4","Jul 25, 2023","3:14:46 PM","97.08723","2.0595383333333337","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 25, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","f08a9d03861742c2a005a4bd40a47713"
"Patrol","3","Jul 25, 2023","3:13:39 PM","97.08717","2.059501666666667","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jul 25, 2023","","","","","","","CM: Green turtle","","202abf08edae447ebaada9448e8d66cb"
"Patrol","2","Jul 25, 2023","3:11:41 PM","97.08683666666666","2.0597016666666668","Aug 4, 2023, 3:32:38 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 25, 2023","","B: beach (between high tide and slope)","BL: below tidal line","","","","CM: Green turtle","","7dd63d713c5b40b4a07d86e1a35f9d7c"
"Patrol","3","Jul 24, 2023","10:57:12 PM","97.09129999999999","2.053318333333333","Aug 4, 2023, 3:32:08 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","98.0","88.0","","Jul 24, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","8c374849caec43cbac1fad09dbcc0161"
"Patrol","2","Jul 24, 2023","10:44:19 PM","97.08861833333334","2.0573400000000004","Aug 4, 2023, 3:32:08 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","100.0","91.0","","Jul 24, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","80c8b60e2df04e7c8ac0568f32d26d61"
"Patrol","15","Jul 24, 2023","6:24:22 PM","97.08982333333333","2.05607","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 24, 2023","40.0","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","5.0","bded690f41304177989c7de388e37615"
"Patrol","14","Jul 24, 2023","6:11:24 PM","97.09130333333333","2.0526216666666666","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jul 24, 2023","","G: dune in grass","A: above high tide","","","Yes","CM: Green turtle","","6959396d68214449b047c28626471564"
"Patrol","13","Jul 24, 2023","6:09:37 PM","97.09128833333334","2.05317","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 24, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","1440a20d9036446c8186e96693da2a3f"
"Patrol","12","Jul 24, 2023","6:07:25 PM","97.09126166666668","2.053471666666667","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 24, 2023","7.0","D: dune sand (area on top of dune)","A: above high tide","","Tukik 5 ekor di ambil babinsa teluk nibubg dan yudis, atas izin BKSDA","","CM: Green turtle","5.0","fd5a73651b524eed84eb0235df417fd0"
"Patrol","11","Jul 24, 2023","5:56:53 PM","97.09093166666668","2.054133333333333","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 24, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","f2745e84167447e4b59bfaf7f3bcad35"
"Patrol","10","Jul 24, 2023","5:54:04 PM","97.09082666666667","2.0547633333333333","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","5.0","4.0","","Jul 24, 2023","101.0","D: dune sand (area on top of dune)","A: above high tide","","Satu tukik telah di ambil babinsa teluk nibung dan yudis basrnas, Atas uzin kamba BKSDA","","CM: Green turtle","1.0","c0c662f3bd624f309511c1f9ab0b5b98"
"Patrol","9","Jul 24, 2023","5:37:41 PM","97.09071","2.0549233333333334","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 24, 2023","","D: dune sand (area on top of dune)","A: above high tide","","Tidak jumpa","","CM: Green turtle","","cf10fdcbdf224213925034921ed7775b"
"Patrol","8","Jul 24, 2023","5:23:30 PM","97.09045333333333","2.055451666666667","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 24, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","aa3ada56611e4c3882cd9928aaecfcfc"
"Patrol","7","Jul 24, 2023","5:21:55 PM","97.09015833333333","2.055705","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 24, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","404fc2fba1284767a96bd7535bc01ca7"
"Patrol","6","Jul 24, 2023","5:12:23 PM","97.08733333333333","2.0593549999999996","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 24, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","daeb0eaa90d046b7a114eb052d142790"
"Patrol","5","Jul 24, 2023","5:11:18 PM","97.0872","2.0592966666666666","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 24, 2023","","B: beach (between high tide and slope)","A: above high tide","","","","CM: Green turtle","","6cb49ce7e16a44f8b13a95eaf3918c0e"
"Patrol","4","Jul 24, 2023","5:09:41 PM","97.08700666666667","2.0594883333333334","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 24, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","","","CM: Green turtle","","9bfb2dc51d934bdb94f84e9b207beec1"
"Patrol","3","Jul 24, 2023","5:09:00 PM","97.08701","2.059536666666667","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 24, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","","","CM: Green turtle","","68c3dd45366c40baa7f1d79a279873fa"
"Patrol","2","Jul 24, 2023","5:08:00 PM","97.08692","2.0596216666666667","Aug 4, 2023, 3:32:02 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 24, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","","","CM: Green turtle","","2c31d2527993425faea385c0e2e65bd8"
"Patrol","6","Jul 23, 2023","10:13:28 PM","97.09090999999998","2.05442","Aug 4, 2023, 3:31:24 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","103.0","95.0","","Jul 23, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","cbeab48619324941835ee844519469a0"
"Patrol","5","Jul 23, 2023","10:10:43 PM","97.09075666666668","2.05492","Aug 4, 2023, 3:31:24 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","56.0","68.0","","Jul 23, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","1f2ff1aada274cbca8edae2e6df5308e"
"Patrol","4","Jul 23, 2023","10:07:10 PM","97.09044","2.0553283333333336","Aug 4, 2023, 3:31:24 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","93.0","98.0","","Jul 23, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","b95e3995ea844fdcbfa2b9153c770d27"
"Patrol","3","Jul 23, 2023","9:58:45 PM","97.089485","2.0564283333333337","Aug 4, 2023, 3:31:24 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","53.0","90.0","","Jul 23, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","a73e201260c5495c827fa142a48cf253"
"Patrol","2","Jul 23, 2023","9:51:35 PM","97.08755166666667","2.0588866666666665","Aug 4, 2023, 3:31:24 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","104.0","94.0","","Jul 23, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","d7b1aae021c1484d90dac8dc97373514"
"Patrol","12","Jul 23, 2023","8:56:39 AM","97.08991333333333","2.0560133333333335","Aug 4, 2023, 3:31:11 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","6.0","Jul 23, 2023","38.0","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","6.0","6b20060c617a44b6886c90c334b95f9c"
"Patrol","11","Jul 23, 2023","8:24:10 AM","97.09122","2.05371","Aug 4, 2023, 3:31:11 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jul 23, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","Yes","CM: Green turtle","","a65d66511cc8432fb888846bc9b12bea"
"Patrol","10","Jul 23, 2023","8:22:39 AM","97.09122333333335","2.053775","Aug 4, 2023, 3:31:11 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 23, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","787dee2f519d44159151eec75578f1c6"
"Patrol","9","Jul 23, 2023","8:17:32 AM","97.09093499999999","2.0544783333333334","Aug 4, 2023, 3:31:11 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 23, 2023","26.0","G: dune in grass","A: above high tide","","","","CM: Green turtle","7.0","9cb919820cc64fa7ad6b18a42599f5c5"
