"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","3","Mar 17, 2023","10:30:29 PM","97.08890833333335","2.056948333333333","Jul 4, 2023, 9:20:54 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","86.0","77.0","","","Mar 17, 2023","","","","S: front slope of dune in sand","BE: between low and high tide","","","","","","CM: Green turtle","","","77be6fc9fdbd441fb2a2560988018a50"
"Patrol","2","Mar 17, 2023","10:18:14 PM","97.08556666666667","2.0609966666666666","Jul 4, 2023, 9:20:54 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","90.0","80.0","","","Mar 17, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","801aa83eaf7d4a91a3f203e42ef282eb"
"Patrol","3","Mar 17, 2023","2:30:55 PM","97.08739833333333","2.05913","Jul 4, 2023, 9:20:49 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 17, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","a0aea1af8f6d4da5985974dc1b183cab"
"Patrol","2","Mar 17, 2023","2:27:47 PM","97.08717333333334","2.05977","Jul 4, 2023, 9:20:49 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 17, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","338491a2721a4b6e9b9e93ceef9a8c92"
"Patrol","4","Mar 16, 2023","10:13:58 PM","97.09102","2.053316666666667","Jul 4, 2023, 9:20:45 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","105.0","94.0","","","Mar 16, 2023","","","","S: front slope of dune in sand","BE: between low and high tide","","P: Parasites","","","","CM: Green turtle","","","6a4a951580834bdf9af283acbb9bd025"
"Patrol","3","Mar 16, 2023","9:59:04 PM","97.08843","2.0575783333333333","Jul 4, 2023, 9:20:45 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","98.0","83.0","","","Mar 16, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","d7f5785412ba49e69c1e311dd408b82f"
"Patrol","2","Mar 16, 2023","9:45:13 PM","97.08636666666668","2.0603866666666666","Jul 4, 2023, 9:20:45 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","118.0","107.0","","","Mar 16, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","cf8527997da740188f6a15400e8f10c7"
"Patrol","7","Mar 16, 2023","10:11:16 AM","97.09118500000001","2.05384","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 16, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","d2557534a5ca4e42a666ddb1a06b85ff"
"Patrol","6","Mar 16, 2023","9:50:30 AM","97.08860666666666","2.057243333333333","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","9.0","4.0","","0.0","Mar 16, 2023","","63.0","","D: dune sand (area on top of dune)","A: above high tide","","","","","","DC: Leatherback turtle","","0.0","314410fb945842b7950de38335b0bd2b"
"Patrol","5","Mar 16, 2023","9:25:30 AM","97.08755666666666","2.0588883333333334","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 16, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","67bc16e0538c412d801755a04b44366e"
