Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Date;Date;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;2;24-May-23;2:18:30 PM;9708724166666660,00;20594416666666600,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;24-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;481a0587cab041a7bb52159e7eb117d1
Patrol;3;23-May-23;10:24:42 PM;9709140166666660,00;205297,00;Jul 4, 2023, 9:38:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;101.0;92.0;23-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;54383b76c8fd4638b1e00f86fdd8fa06
Patrol;2;23-May-23;10:17:03 PM;9709073166666660,00;2054555,00;Jul 4, 2023, 9:38:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;106.0;95.0;23-May-23;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;CM: Green turtle;;;6eeb9fb4e50143d097a2e2051a32f09e
Patrol;12;23-May-23;11:32:26 AM;9709132,00;2053545,00;Jul 4, 2023, 9:38:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;d212b103702144f7a4de6af61f4e54a5
Patrol;11;23-May-23;11:27:57 AM;9709067166666660,00;20549000000000000,00;Jul 4, 2023, 9:38:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;CM: Green turtle;;;9d31f04035844f2698e46e39fa3a46a0
Patrol;10;23-May-23;11:26:39 AM;9709066499999990,00;205496,00;Jul 4, 2023, 9:38:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;bb2585b85b9a41b3bc7af2a46d4b391d
Patrol;9;23-May-23;11:24:00 AM;9709029833333330,00;20555983333333300,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;24d023ba9b724568b6dad4b2a2a07658
Patrol;8;23-May-23;11:21:09 AM;9708994333333330,00;20560933333333300,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;0c873736788847dc93c9192e50c4302a
Patrol;7;23-May-23;11:18:26 AM;9708913166666660,00;205675,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;23-May-23;;;;;;;;;;CM: Green turtle;;;8e3500372a124dafa356226353a29fe6
Patrol;6;23-May-23;11:17:02 AM;9708903000000000,00;20569616666666600,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;23-May-23;;;;G: dune in grass;A: above high tide;;;Telur lama di makan biawak;;CM: Green turtle;;;ef27a77457ed47cfa2f15e8deea02e38
Patrol;5;23-May-23;11:13:07 AM;9708815166666660,00;2057955,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;23-May-23;;;;;;;;;;CM: Green turtle;;;0ca9f0dfdf434d8baf7772c8c6e8570f
Patrol;4;23-May-23;11:11:23 AM;9708796,00;20582100000000000,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;693f16ee79f84800a3b28368c40a7883
Patrol;3;23-May-23;11:09:09 AM;9708763499999990,00;2058781666666660,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;1c184151783648918e272072aa6d5b5e
Patrol;2;23-May-23;11:03:11 AM;9708635833333330,00;20602549999999900,00;Jul 4, 2023, 9:38:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;23-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;6e989153d6834d699c010f034bdaec95
Patrol;4;22-May-23;11:39:52 PM;9709134666666660,00;20530516666666600,00;Jul 4, 2023, 9:38:18 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;93.0;85.0;22-May-23;;;;G: dune in grass;A: above high tide;;P: Parasites;;;CM: Green turtle;;;0e96187bff604e9bbfc052aebdcfb7f5
Patrol;3;22-May-23;11:31:24 PM;9709024333333330,00;20556,00;Jul 4, 2023, 9:38:18 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;106.0;97.0;22-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;63822bbf3a394ef9900bf7df0045601c
Patrol;2;22-May-23;11:23:27 PM;9708853833333330,00;2057443333333330,00;Jul 4, 2023, 9:38:18 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;94.0;90.0;22-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;2c75f0a7d6cc4a02b328bec41fd2bd47
Patrol;7;22-May-23;12:19:59 PM;9709134,00;20526983333333300,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;22-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;Yes;CM: Green turtle;;;f104ab39d3874f5bad6696f9db468590
Patrol;6;22-May-23;12:14:40 PM;9709136500000000,00;20530816666666600,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;22-May-23;;;;G: dune in grass;A: above high tide;;;;No;CM: Green turtle;;;1501ad9cf0ac4f1d838bbc6f24e93ccd
Patrol;5;22-May-23;11:52:30 AM;9708922833333330,00;20567083333333300,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;22-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;6d92b4eaae0448ff9bee751c9756d790
Patrol;4;22-May-23;11:49:32 AM;9708897,00;205695,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;22-May-23;;;;;A: above high tide;;;;;CM: Green turtle;;;03ed7be9735c471c8dd34b5cc2c84973
Patrol;3;22-May-23;11:43:46 AM;9708794333333330,00;2058225,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;22-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;Yes;CM: Green turtle;;;68e7fa9c04234797a2b52fdef23cde5a
Patrol;2;22-May-23;11:38:48 AM;9708740333333330,00;20593616666666600,00;Jul 4, 2023, 9:38:10 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;22-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;63a86f797d31491ca947cdebfe2a8cec
Patrol;2;21-May-23;10:29:03 PM;9708748500000000,00;2058945,00;Jul 4, 2023, 9:38:01 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;93.0;88.0;21-May-23;;;;S: front slope of dune in sand;A: above high tide;;;;;CM: Green turtle;;;725a62e7a8714e8cb9ee953e1997b477
Patrol;11;21-May-23;5:28:32 PM;9709039833333330,00;205539,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Bird's monitoring;;;;;;;;;;;;;;;;;;;e666def7c3a1438eaccac9734bf84782
Patrol;11;21-May-23;5:28:32 PM;9709039833333330,00;205539,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;21-May-23;;;;S: front slope of dune in sand;A: above high tide;;;;;CM: Green turtle;;;e666def7c3a1438eaccac9734bf84782
Patrol;10;21-May-23;3:38:52 PM;9709113666666660,00;205395,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;21-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;43504e3cab984c609089123773ca50df
Patrol;9;21-May-23;3:36:21 PM;9709090666666660,00;20546616666666600,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;21-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;5e4a0f204a834a9798f23606c26e9d30
Patrol;8;21-May-23;3:34:41 PM;9709080333333330,00;2054845,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;21-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;bdae9a2787164c2480bf644d2ec1615b
Patrol;7;21-May-23;3:33:21 PM;9709075,00;2054888333333330,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;21-May-23;;;;G: dune in grass;BE: between low and high tide;;;;;CM: Green turtle;;;118dceed6dfc46b1a6ba654523fd1248
Patrol;6;21-May-23;3:15:43 PM;9709011000000000,00;20556683333333300,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;21-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;46dd83fcfd2842aaab051cbecc0425a9
Patrol;5;21-May-23;3:07:12 PM;9708749333333330,00;20591,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;21-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;1e63f07e2ebc4656b1dab9f42b18b265
Patrol;4;21-May-23;3:04:48 PM;9708749000000000,00;20591416666666600,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;21-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;4b039792e7be4a1f9e6e0291134b145a
Patrol;3;21-May-23;3:02:13 PM;9708723333333330,00;20595533333333300,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;21-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;58addf9b202b4fe4804affab54e112d9
