Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;4;8-Jun-23;7:10:07 AM;9708839166666660,00;20574966666666600,00;Jun 19, 2023, 7:27:38 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;CM: Green turtle;;;;f788b1e84f7a4dc78537d7a8bdbec06b
Patrol;3;8-Jun-23;7:08:51 AM;9708820166666660,00;20577683333333300,00;Jun 19, 2023, 7:27:38 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;628cf0d4fef8409dac34c777e71b9dce
Patrol;2;8-Jun-23;6:56:05 AM;9708732333333330,00;20596266666666600,00;Jun 19, 2023, 7:27:38 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;ca830abd5ef84fe7b5d4cc565dcaac54
Patrol;9;7-Jun-23;8:26:03 AM;9709023499999990,00;205564,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;5.0;4.0;;29.0;7-Jun-23;;;75.0;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;12.0;78dea332085e45dea4fb6461fc442f50
Patrol;6;7-Jun-23;7:31:35 AM;9709130833333330,00;2052648333333330,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Jun-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;CM: Green turtle;;;;fc88bfde7314486db35443c21c14d9c8
Patrol;5;7-Jun-23;7:28:44 AM;9709134666666660,00;20530199999999900,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;60115f91f6834d1a955dfcb7372f191c
Patrol;4;7-Jun-23;7:24:30 AM;9709099499999990,00;20543183333333300,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;84b1efd74953461b92b6421bfc0f33d3
Patrol;3;7-Jun-23;7:19:12 AM;9708792666666660,00;20581733333333300,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;c90c84c9b7db4bfb86aa1cd7a7574678
Patrol;2;7-Jun-23;7:05:23 AM;9708628333333330,00;2060275,00;Jun 19, 2023, 7:27:32 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;7-Jun-23;;;;;;;;;;CM: Green turtle;;;;2ffa8c4adc7344faa3142770781cebef
Patrol;2;6-Jun-23;9:51:27 PM;9708791833333330,00;20582116666666600,00;Jun 19, 2023, 7:27:11 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;100.0;96.0;;;6-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;a5e62105f23c4db6844111f602eb78a6
