Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;5;3-Apr-23;9:24:23 AM;97083735,00;20630516666666600,00;Apr 15, 2023, 10:54:26 AM;Dwi Iqbal Maulana;Bird's monitoring;;;Nias hill myna;;;;;;;;;Forest;;;1.0;;;Tree;;;Vocalising;;;32738309b544488ca79d72c2961af151
Patrol;4;3-Apr-23;8:53:33 AM;9709028166666660,00;2055485,00;Apr 15, 2023, 10:54:26 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;3-Apr-23;;;;;D: dune sand (area on top of dune);BL: below tidal line;;;;;;CM: Green turtle;;;;982a10f16e6746fc8f4b15cf014a8f04
Patrol;3;3-Apr-23;8:46:21 AM;9708912333333330,00;2056773333333330,00;Apr 15, 2023, 10:54:26 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;3-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;72d1e83ba3e646c2ab17c27de7f7cf67
Patrol;2;3-Apr-23;8:44:58 AM;9708531166666660,00;20609783333333300,00;Apr 15, 2023, 10:54:26 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;3-Apr-23;;;;;;;;;;;;CM: Green turtle;;;;2ab4dd58fde64089a7850199a81c3f51
Patrol;4;2-Apr-23;9:44:39 PM;9709133333333330,00;20534450000000000,00;Apr 15, 2023, 10:54:23 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;104.0;99.0;;;2-Apr-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;53317953b8844b48ad5f7ec62cda76bc
Patrol;3;2-Apr-23;9:34:13 PM;9709083166666660,00;20549066666666600,00;Apr 15, 2023, 10:54:23 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;103.0;100.0;;;2-Apr-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;9dde61cf23b948f298f6edb6e3891a37
Patrol;2;2-Apr-23;9:15:15 PM;9708780833333330,00;20584800000000000,00;Apr 15, 2023, 10:54:23 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;5.0;4.0;;;2-Apr-23;;;90.0;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;12.0;460cbf04cab141bc98daa7db12302872
Patrol;3;2-Apr-23;10:53:23 AM;9709095,00;2053933333333330,00;Apr 15, 2023, 10:54:18 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;2-Apr-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;;CM: Green turtle;;;;8262f69a9cb343e5b73b3f40ae79b078
Patrol;2;2-Apr-23;10:48:52 AM;9709092833333330,00;20544733333333300,00;Apr 15, 2023, 10:54:18 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;2-Apr-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;;3caec4d62e6b45859bd6fc84c7727777
Patrol;8;1-Apr-23;8:14:04 AM;97091105,00;20539,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;4.0;3.5;;;1-Apr-23;;;;;S: front slope of dune in sand;A: above high tide;;;;;;CM: Green turtle;;;;ec7867c9935b48298ae1183f1933d770
